merchant_id,kam,main_merchant_name,main_bl
60c1c1b9964a1dae3d5a0711,Monica,He Fei Fang Ren Mao Yi,
1482771513982567966-23-11-582-1649842769,Monica,KaiTingu,Home & Kitchen
5ac43f6a8b45130b8772d38e,Laura,Friends Shanghai Industrial,Home & Kitchen
60d2ad5baf7385a6c330eeeb,Victoria,YWhongma,
5dc394c236b54d0b01b67a30,Monica,He Fei Fang Ren Mao Yi,
5afe5e201436d40b1b1ab16b,Katya,Nanjing Choubo Garden Engineering,Health & Beauty
61adc3e2e433caeeea2580c3,Victoria,YWhongma,Fashion
5ace2b9d8b2c370bd215d25f,Katya,Nanjing Huding Liquor,Health & Beauty
63120e0405108f49e0d3879e,Ida,HUAJIE,Fashion
628d8ff5d4c2f3db30328190,Laura,JR-Studio,Home & Kitchen
5b9291521436d40bb8c14f02,Laura,Friends Shanghai Industrial,
614443d4e5e9a5042dc3d383,Victoria,YEJET,Health & Beauty
5afd875b8b45130b38d095b7,Monica,He Fei Fang Ren Mao Yi,Home & Kitchen
63e99f02b4a8d23d5b888261,Victoria,YEJET,
640035cb1eeb7c562b17a6b7,Victoria,YEJET,
629078b6e25d94d357ff41ea,Victoria,YEJET,
60bc4d57a3c178e496c22eee,w/o KAM,,
623496e13fc314cccfefd7ac,w/o KAM,,
5db7c81b8b45130b0112cb46,Monica,He Fei Fang Ren Mao Yi,
1500576977570108288-152-11-26193-85614368,Monica,He Fei Fang Ren Mao Yi,
60b6eb4c77edde5fe96077fd,Henry,CHENEY,Electronics & HA
6411558a846e9f8bb439b9b0,w/o KAM,,
1505147231995465152-25-11-709-2323271847,w/o KAM,,
61ca79e7fb3833b47f6d6d12,w/o KAM,,
1479114284851830144-24-11-118-1744978788,w/o KAM,,
61320a81b5971074603ea9f8,w/o KAM,,
5dc8df571436d40b019087d2,w/o KAM,,
619862799eea7daf970171c9,w/o KAM,,
662757a712ee138aa0049e28,Ida,TrendyCloset Hub,
1502961949267705410-44-11-26193-4193379420,Monica,He Fei Fang Ren Mao Yi,Home & Kitchen
638dc12f256d1d70b1bafb63,Yilia,ShengHe,
630338c1e189d16c9279994f,Marf,Bessie,
62ff3472ce95e7e5cba716b9,Marf,Bessie,
62ff4021f5068bc5a39d528c,Marf,Bessie,
64268e3f2b89b43846007dfd,Victoria,TOSP,
60c194c7539e38a83aa7e436,Ida,maoyuyu,
640adb7613eca89df943d7f5,Monica,Licao,
640adc9149f3106f6e515fee,Monica,Licao,
640adeb5dd924704fd9324f0,Monica,Licao,
640ae6076762e1e1de533744,Monica,Licao,
640ae86049f3106f6e51d9d7,Monica,Licao,
640ae97649f3106f6e51fdfe,Monica,Licao,
640aeb7cdd924704fd93d044,Monica,Licao,
640aec8f49f3106f6e5229b3,Monica,Licao,
640ad7c449f3106f6e512a1e,Monica,Licao,
640ad9d06762e1e1de52e306,Monica,Licao,
628711d7c213c18df2f58a66,Yilia,ETST WENDY 09,
6272257421190b164a89a603,Yilia,ETST WENDY 09,
61da883f5228fce47e9a332e,Yilia,ETST WENDY 09,
628afdf112bf4667e9d05cce,Yilia,ETST WENDY 09,
63f072cd9702223dc88c9bf9,Yilia,ETST WENDY 09,
638dbbe1d72ac94180c3388f,Yilia,ETST WENDY 09,
62f226c61d1a73e763aee9ff,Yilia,ETST WENDY 09,
62b42f5efbe8dd862b5804cd,Yilia,ETST WENDY 09,
61cf1c58075d9c94982c1176,Maria,qianze,
1521655194930946012-6-11-39131-1938131666,Maria,Shanghai Zhenhao,
60cc9cff3ab7320b9fcfc134,Annan,dongjoom01,
5bf750918b45130b012ff178,Marf,Bessie,Health & Beauty
628f99204e2bbccd1a5a483a,Annan,dongjoom01,
5dc67fa58b2c370b01d912be,Marf,fsihkingftk,Health & Beauty
5f83b6a722e9f00b0692880a,Ida,maoyuyu,
60b788c5e68365c96bf9e35a,Maria,qianze,Health & Beauty
5aec039b8b2c370bdbc59f20,Annan,hua yi lv you,
60825d6808595a67023e50af,Ida,sabangdewensuhua,
610958a1172cafdb2b39dd84,Laura,JR-Studio,Home & Kitchen
611f58a31c37d2fc0f55f799,Mengping,989XXCV,
5c11b18136b54d0b01434366,Marf,Tringa,Fashion
5f0e8b19de3d390b067fe930,Ida,sabangdewensuhua,
5bdb01201436d40b73a6a02c,Mengping,GELANFEN NEIYI,Fashion
6225b0c95f0e5f0820c60bf2,Monica,Licao,Home & Kitchen
650d475e0fe2168d180ebb48,Yilia,CICI Global Home Store,
5c40493b1436d40b01d4f394,Monica,Meigu,
634bccf1abdeab42a560d15e,Mengping,xuqiangqiang,Fashion
640f0bb7fdf5c3b6d0e4b756,Yilia,jinrui Fashion 3D Clothing,
5af5776b8b45130beb9b1a56,Maria,Nanyang Nanke Electronic Commerce,
61724deb29a35dd8785f0562,Ida,GOGNGTR,
5ba7a2708b45130bf91532f1,Laura,Shenzhen Binchi Keji,
60f91b41f234e528f9d4b191,Laura,kaylee,
6153041a49b80146968377c5,Yilia,Zorioneko,
630e20fb80fec607fc8bdb5b,Kristina,Popular,
61aec8361dd0181987eb8448,Victoria,Supsex,
