campaign_id,campaign,medium,source,partner,app_device_type,campaign_platform,campaign_date_utc,clicks,spend
,apomio_feed_promo,,apomio,onfy,web,web,2023-08-22,70,15.4
,apomio_feed_promo,,apomio,onfy,web,web,2023-08-23,57,12.54
,apomio_feed_promo,,apomio,onfy,web,web,2023-08-24,39,8.58
,apomio_feed_promo,,apomio,onfy,web,web,2023-08-25,59,12.98
,apomio_feed_promo,,apomio,onfy,web,web,2023-08-26,40,8.8
,apomio_feed_promo,,apomio,onfy,web,web,2023-08-27,78,17.16
,apomio_feed_promo,,apomio,onfy,web,web,2023-08-28,70,15.4
,apomio_feed_promo,,apomio,onfy,web,web,2023-08-29,88,19.36
,apomio_feed_promo,,apomio,onfy,web,web,2023-08-30,57,12.54
,apomio_feed_promo,,apomio,onfy,web,web,2023-08-31,51,11.22
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-01,33,7.26
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-02,44,9.68
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-03,61,13.42
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-04,67,14.74
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-05,55,12.1
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-06,36,7.92
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-07,47,10.34
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-08,36,7.92
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-09,36,7.92
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-10,49,10.78
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-11,113,24.86
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-12,37,8.14
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-13,80,17.6
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-14,52,11.44
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-15,37,8.14
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-16,30,6.6
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-17,25,5.5
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-18,56,12.32
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-19,39,8.58
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-20,44,9.68
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-21,60,13.2
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-22,65,14.3
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-23,46,10.12
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-24,51,11.22
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-25,106,23.32
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-26,99,21.78
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-27,74,16.28
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-28,81,17.82
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-29,80,17.6
,apomio_feed_promo,,apomio,onfy,web,web,2023-09-30,77,16.94
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-01,76,16.72
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-02,75,16.5
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-03,39,8.58
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-04,48,10.56
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-05,54,11.88
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-06,29,6.38
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-07,26,5.72
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-08,73,16.06
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-09,41,9.02
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-10,24,5.28
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-11,55,12.1
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-12,41,9.02
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-13,23,5.06
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-14,41,9.02
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-15,82,18.04
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-16,59,12.98
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-17,57,12.54
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-18,79,17.38
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-19,77,16.94
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-20,72,15.84
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-21,70,15.4
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-22,83,18.26
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-23,62,13.64
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-24,66,14.52
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-25,163,35.86
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-26,85,18.7
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-27,57,12.54
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-28,56,12.32
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-29,87,19.14
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-30,70,15.4
,apomio_feed_promo,,apomio,onfy,web,web,2023-10-31,54,11.88
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-01,90,19.8
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-02,52,11.44
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-03,33,7.26
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-04,82,18.04
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-05,63,13.86
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-06,71,15.62
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-07,40,8.8
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-08,14,3.08
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-09,52,11.44
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-10,31,6.82
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-11,41,9.02
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-12,26,5.72
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-13,44,9.68
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-14,47,10.34
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-15,26,5.72
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-16,30,6.6
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-17,32,7.04
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-18,23,5.06
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-19,32,7.04
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-20,36,7.92
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-21,48,10.56
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-22,33,7.26
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-23,27,5.94
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-24,50,11
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-25,58,12.76
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-26,61,13.42
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-27,41,9.02
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-28,55,12.1
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-29,50,11
,apomio_feed_promo,,apomio,onfy,web,web,2023-11-30,51,11.22
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-01,42,9.24
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-02,41,9.02
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-03,49,10.78
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-04,42,9.24
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-05,41,9.02
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-06,42,9.24
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-07,27,5.94
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-08,39,8.58
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-09,32,7.04
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-10,47,10.34
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-11,59,12.98
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-12,110,24.2
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-13,57,12.54
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-14,53,11.66
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-15,39,8.58
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-16,40,8.8
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-17,46,10.12
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-18,46,10.12
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-19,48,10.56
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-20,52,11.44
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-21,62,13.64
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-22,38,8.36
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-23,33,7.26
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-24,16,3.52
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-25,74,16.28
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-26,47,10.34
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-27,57,12.54
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-28,52,11.44
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-29,40,8.8
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-30,34,7.48
,apomio_feed_promo,,apomio,onfy,web,web,2023-12-31,34,7.48
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-01,56,12.32
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-02,71,15.62
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-03,51,11.22
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-04,72,15.84
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-05,60,13.2
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-06,61,13.42
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-07,82,18.04
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-08,99,21.78
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-09,61,13.42
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-10,26,5.72
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-11,19,4.18
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-12,29,6.38
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-13,12,2.64
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-14,20,4.4
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-15,35,7.7
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-16,20,4.4
