table_name
push.sale_dates_v1
mart.focus_products
mart.fact_table_update
mart.dim_product_review
payments.country_filter
mart.dim_date
goods.coolbe_product_labels
mongo.product_fast_delivery_info_daily_snapshot
mongo.b2b_core_product_appendixes_daily_snapshot
pharmacy.adjust_raw_network_insights
pharmacy.adjust_raw_deliverables_insights
pharmacy.adjust_raw_cohort_insights
joompro_analytics.mercadolibre_category_info
pharmacy.fbads_adset_country_insights
mart.onfy_babylone_events
pharmacy.criteo_insights
joompro_mart.sellers_for_outreach
joompro_mart.contacts_cpf
joompro_mart.mercadolibre_categories
joompro_analytics_mart.cube_mlb_products
joompro_analytics.mercadolibre_categories_reviews_cube_js_weekly
joompro_mart.mercadolibre_categories_view
joompro_analytics.ods_mlb_mobile_api_product_previews
joompro_analytics.mercadolibre_categories_cube_js_monthly
pharmacy.mindbox_events
ads.product_availability
