merchant_category_id
1500393023572122695-198-2-709-4076534534
1635857230086694288-76-2-54781-334349190
1473502942343237679-16-2-118-559322945
1473502944094049371-19-2-118-1359741611
1473502943563016503-115-2-118-2100924165
1473502944099073288-20-2-118-3788432932
1473502946107204891-124-2-118-3623218722
1473502935602786135-149-2-118-3818791997
1473871852027041544-15-2-118-3221341056
1473502946998792026-148-2-118-2534712913
1473502935595834435-147-2-118-4067519318
1623845026510090129-146-2-25687-506867948
1473502941527917121-47-2-118-2616830661
1500393023572122695-198-2-709-4076534534
1721744277649985393-168-2-11749-2313692593
1687159723984365243-170-2-40350-875043063
1715855213328093996-130-2-10673-3297262147
1724158703688414465-61-2-16199-1789530645
1721201026652908638-187-2-14594-3859186530
1473502937681241627-46-2-118-693451521
1482944890164121278-235-2-629-2442933182
1627388083588593488-73-2-22465-3494905766
1629451712902510664-154-2-33028-845908677
